refYear,CoreL1,CoreCountryEffN,CoreHSEffN,CoreGap
2010,309079399453.0,6.7260387389422105,6.109278823056098,0.6167599158861128
2011,372902802173.0,7.244116812659565,6.609538859804917,0.6345779528546487
2012,372636302669.0,7.104114898236034,6.274819675197909,0.829295223038125
2013,386500384753.0,6.6279395966895684,5.889483965330123,0.7384556313594457
2014,394059344618.0,6.743846865313343,5.8644070312067385,0.8794398341066048
2015,363910934272.0,6.46401495729855,5.363757698405649,1.100257258892901
2016,336371486902.0,6.57062370398691,5.076708853936411,1.4939148500504986
2017,404324800871.0,7.074407467113917,4.9845458756525645,2.0898615914613528
2018,431322653027.0,6.481480924648389,4.496738078681504,1.9847428459668857
2019,378572912391.0,6.881346386934998,4.762008400399568,2.119337986535429
2020,355296691551.0,6.495254299110735,4.230727739216526,2.2645265598942093
2021,448480345496.0,6.809276412046356,4.2213921208201315,2.5878842912262243
2022,471348412110.0,7.489259809594462,4.214373928658003,3.274885880936459
2023,426983350022.0,7.818121107535598,4.700251176894732,3.1178699306408655
2024,481170219268.0,7.806401610392843,4.190146281774107,3.6162553286187364
