refYear,L1,EffN_country,EffN_HS,Gap
2010,466380619660.0,11.33854785565865,9.03919123488229,2.2993566207763596
2011,555208897965.0,11.763248180507455,9.746770718649314,2.016477461858141
2012,547854447999.0,11.327922243280007,9.644294072565694,1.6836281707143126
2013,559618558899.0,10.534592571693722,8.919803997702981,1.6147885739907402
2014,573074773090.0,10.712928700277669,8.982359663111756,1.7305690371659121
2015,526753006361.0,10.047723044211368,8.346111919420531,1.701611124790837
2016,495417715559.0,10.26164517895656,8.257753601857399,2.0038915770991608
2017,573627368937.0,10.470888029456294,7.929531057483894,2.5413569719724
2018,604807317420.0,9.393664195377594,7.284606176709291,2.1090580186683034
2019,542171769089.0,9.913055497230715,7.828006195332864,2.0850493018978513
2020,511555676885.0,9.261208299355834,7.181206813674843,2.0800014856809916
2021,643375484654.0,9.503662301469426,7.264864254487234,2.2387980469821915
2022,682260488311.0,10.361187475791535,7.266468146598578,3.094719329192957
2023,631804230615.0,11.073707406055377,8.023464636579314,3.0502427694760623
2024,683127018292.0,10.848261489816352,6.974735756566629,3.873525733249723
