refYear,cmdCode,value,share
2010,1,1799043.0,3.85745660124457e-06
2010,2,30517205.0,6.543411907263128e-05
2010,3,1395720557.0,0.002992664142042407
2010,4,24015737.0,5.14938571364906e-05
2010,5,56280915.0,0.00012067592997545613
2010,6,105091432.0,0.00022533404599147703
2010,7,131137075.0,0.0002811803695779669
2010,8,144517443.0,0.00030987017236126975
2010,9,31853340.0,6.829902156573674e-05
2010,10,6950433.0,1.4902919862036704e-05
2010,11,66642692.0,0.00014289335617887326
2010,12,204600190.0,0.0004386978818913129
2010,13,57588317.0,0.00012347922399087453
2010,14,90267.0,1.93547922436842e-07
2010,15,62660920.0,0.00013435575441724177
2010,16,185092825.0,0.0003968707471912878
2010,17,389915686.0,0.000836046073879004
2010,18,40451387.0,8.67347082936032e-05
2010,19,516802932.0,0.0011081140815344317
2010,20,183813991.0,0.00039412870786527057
2010,21,683610922.0,0.0014657790079235387
2010,22,474677952.0,0.001017790902945429
2010,23,118954218.0,0.0002550582356675108
2010,24,597499924.0,0.0012811422662365095
2010,25,350146575.0,0.0007507742822917111
2010,26,188300359.0,0.00040374824995359883
2010,27,32579698495.0,0.06985645869837215
2010,28,2900552458.0,0.006219281710536248
2010,29,16828753247.0,0.036083731908217946
2010,30,903038787.0,0.0019362699669174329
2010,31,424139347.0,0.0009094274700119514
2010,32,1512465645.0,0.0032429856242796175
2010,33,824907160.0,0.001768742364554883
2010,34,523234297.0,0.0011219040306208422
2010,35,287476678.0,0.0006163992796475457
2010,36,16814266.0,3.6052668767106804e-05
2010,37,323399289.0,0.0006934235158308336
2010,38,2838401687.0,0.006086019803029651
2010,39,23953247018.0,0.051359867902449195
2010,40,6574672057.0,0.01409722398369181
2010,41,804025457.0,0.001723968413580627
2010,42,104112549.0,0.00022323515302994355
2010,43,13820112.0,2.9632689304446472e-05
2010,44,52439851.0,0.00011244003028734258
2010,45,215017.0,4.610333082810159e-07
2010,46,1105397.0,2.370160665779497e-06
2010,47,107144557.0,0.00022973629795790043
2010,48,2763041088.0,0.005924433759735359
2010,49,357882289.0,0.0007673609792381654
2010,50,90746933.0,0.0001945769810635703
2010,51,77997921.0,0.0001672409137773819
2010,52,710517051.0,0.00152347036100681
2010,53,12115888.0,2.597854089398634e-05
2010,54,3009208858.0,0.006452259659060808
2010,55,1568483578.0,0.0033630976757641714
2010,56,662056999.0,0.0014195637020308683
2010,57,35171545.0,7.541382192433447e-05
2010,58,528543063.0,0.001133286935004541
2010,59,1278088233.0,0.0027404402737226724
2010,60,3697840230.0,0.007928803372438146
2010,61,796633558.0,0.001708118914934245
2010,62,674955402.0,0.0014472200892310981
2010,63,596795246.0,0.0012796313158018329
2010,64,435861766.0,0.0009345623459176995
2010,65,100798726.0,0.00021612974843055038
2010,66,4370187.0,9.37043010746447e-06
2010,67,41778057.0,8.957931620412737e-05
2010,68,462468664.0,0.0009916120964399166
2010,69,131396704.0,0.00028173705866206577
2010,70,767900298.0,0.0016465098797626139
2010,71,4533370703.0,0.009720323941215461
2010,72,21751233245.0,0.04663837288276911
2010,73,7685524632.0,0.016479082337518415
